status,floor,transaction,bathroom,Rate_per_sqft,bedroom,carpet_area_sqft,area,Price_Lakhs,area_median_ppsf,ppsf_vs_area
Ready to Move,2,Resale,5.0,21250.0,4,3000.0,New Delhi,850.0,8796.0,2.4158708503865394
Ready to Move,0,New Property,4.0,9815.0,4,1500.0,Gurgaon,265.0,9259.0,1.060049681391079
Ready to Move,1,New Property,2.0,10083.0,3,1100.0,New Delhi,121.0,8796.0,1.1463165075034107
Ready to Move,2,New Property,3.0,31250.0,3,750.0,New Delhi,250.0,8796.0,3.55275125056844
Under Construction,6,New Property,3.0,8063.0,3,991.0,Greater Noida,127.0,5784.5,1.3938974846572738
Under Construction,3,New Property,3.0,8671.0,3,1100.0,Gurgaon,135.0,9259.0,0.9364942218382115
Ready to Move,2,New Property,4.0,12963.0,4,2200.0,Gurgaon,350.0,9259.0,1.4000432012096338
Ready to Move,25,Resale,6.0,10276.0,5,3200.0,Gurgaon,875.0,9259.0,1.1098390754941139
Ready to Move,1,New Property,5.0,15250.0,4,2700.0,Gurgaon,549.0,9259.0,1.6470461172912843
Ready to Move,4,New Property,4.0,6633.0,4,5600.0,Gurgaon,199.0,9259.0,0.7163840587536451
Ready to Move,7,Resale,3.0,16486.0,4,1900.0,Gurgaon,715.0,9259.0,1.7805378550599418
Ready to Move,3,New Property,4.0,6889.0,4,2800.0,Gurgaon,310.0,9259.0,0.7440328329193218
Ready to Move,0,Resale,6.0,18405.0,5,1400.0,Gurgaon,1200.0,9259.0,1.9877956582784317
Ready to Move,2,New Property,4.0,12727.0,4,1800.0,Gurgaon,575.0,9259.0,1.3745544875256508
Ready to Move,1,Resale,4.0,14416.0,4,1700.0,Gurgaon,410.0,9259.0,1.5569715952046657
Ready to Move,4,New Property,4.0,6500.0,4,1205.0,Gurgaon,195.0,9259.0,0.7020196565503835
Under Construction,2,New Property,5.0,33093.0,4,3300.0,New Delhi,825.0,8796.0,3.7622783083219646
Under Construction,12,New Property,5.0,6808.0,5,2025.0,Greater Noida,215.0,5784.5,1.176938369781312
Ready to Move,10,New Property,4.0,8957.0,4,2025.0,Gurgaon,238.0,9259.0,0.9673830867264284
Under Construction,0,New Property,4.0,31371.0,4,2000.0,New Delhi,549.0,8796.0,3.5665075034106413
Ready to Move,1,New Property,3.0,7297.0,3,1410.0,Gurgaon,135.0,9259.0,0.7880980667458689
Ready to Move,4,New Property,5.0,11971.0,4,1150.0,Gurgaon,419.0,9259.0,1.2929042013176368
Ready to Move,2,New Property,4.0,11818.0,4,1150.0,Gurgaon,260.0,9259.0,1.2763797386326816
Ready to Move,4,New Property,3.0,11176.0,3,1150.0,Gurgaon,190.0,9259.0,1.2070417971703207
Ready to Move,4,New Property,4.0,10833.0,4,1150.0,Gurgaon,260.0,9259.0,1.1699967599092775
Ready to Move,1,New Property,3.0,9762.0,3,1150.0,Gurgaon,205.0,9259.0,1.0543255211145912
Ready to Move,1,Resale,3.0,8536.0,3,1150.0,Gurgaon,172.0,9259.0,0.9219138135867805
Ready to Move,9,New Property,4.0,8222.0,3,1350.0,Noida,185.0,7233.0,1.1367344117240425
Under Construction,5,New Property,4.0,10500.0,3,2450.0,Gurgaon,291.0,9259.0,1.1340317528890809
Ready to Move,1,Resale,3.0,15556.0,3,789.0,Gurgaon,210.0,9259.0,1.6800950426611945
Ready to Move,1,Resale,2.0,5580.0,3,750.0,Noida,77.0,7233.0,0.7714641227706346
Ready to Move,7,Resale,3.0,21429.0,3,1350.0,Gurgaon,600.0,9259.0,2.314396803110487
Ready to Move,2,New Property,3.0,8218.0,3,1550.0,Greater Noida,106.0,5784.5,1.4206932319128707
Ready to Move,1,Resale,3.0,11667.0,3,2048.0,Gurgaon,175.0,9259.0,1.260071281995896
Ready to Move,10,Resale,3.0,7407.0,4,1100.0,Gurgaon,200.0,9259.0,0.7999783993951831
Ready to Move,2,Resale,6.0,6331.0,4,2200.0,Gurgaon,175.0,9259.0,0.6837671454800734
Ready to Move,15,Resale,3.0,7178.0,5,3469.0,Gurgaon,410.0,9259.0,0.7752457068797927
Under Construction,1,New Property,3.0,3928.0,3,1500.0,Ghaziabad,147.0,5590.0,0.7026833631484795
Ready to Move,3,Resale,2.0,6029.0,2,1750.0,Faridabad,50.0,5662.5,1.0647240618101546
